id;title;publication_date;copies_owned;status
1;anti regarding willfully;2025-01-25;18808;UNAVAILABLE
2;intervention transom marvelous;2025-01-25;18526;UNAVAILABLE
3;awkwardly;2025-01-25;1584;BORROWED
4;curiously so;2025-01-25;28311;BORROWED
5;print marathon;2025-01-25;5778;UNAVAILABLE
6;accelerator positively;2025-01-25;15586;AVAILABLE
7;while lest jot;2025-01-25;22962;BORROWED
8;quirkily dwell until;2025-01-25;20171;UNAVAILABLE
9;farmer next or;2025-01-25;29873;BORROWED
10;or;2025-01-25;8464;UNAVAILABLE
